Option,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
":version :original, :n-workers 1, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.44,1.32,0.04,44.38,2.8802186,0.037426,0.0129942,15.08,0.46,0.01,15.41
":version :original, :n-workers 2, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",44.89,1.13,0.04,45.71,2.52407,0.033015,0.0130801,17.78,0.45,0.02,18.11
":version :original, :n-workers 4, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",41.49,1.15,0.04,42.31,2.5630184,0.024161,0.0094268,16.19,0.45,0.02,16.51
":version :original, :n-workers 6, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.11,1.18,0.04,43.95,2.5808939,0.032225,0.012486,16.7,0.46,0.02,17.03
":version :original, :n-workers 8, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.76,1.15,0.01,43.53,2.5249974,0.028262,0.0111929,16.93,0.46,0.0,17.24
":version :original, :n-workers 10, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",46.64,1.42,0.4,47.87,2.5657948,0.029921,0.0116615,18.18,0.55,0.16,18.66
":version :original, :n-workers 12, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",41.5,1.17,0.03,42.35,2.595233,0.029397,0.0113273,15.99,0.45,0.01,16.32
":version :original, :n-workers 14, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",41.95,1.14,0.03,42.74,2.5465664,0.030052,0.011801,16.47,0.45,0.01,16.78
":version :original, :n-workers 16, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",41.65,1.15,0.03,42.45,2.5645237,0.027531,0.0107353,16.24,0.45,0.01,16.55
":version :original, :n-workers 18, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",41.89,1.13,0.02,42.66,2.5276354,0.030732,0.0121584,16.57,0.45,0.01,16.88
":version :original, :n-workers 20, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.27,1.17,0.03,43.1,2.5941423,0.035464,0.0136708,16.29,0.45,0.01,16.61
":version :original, :n-workers 22, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",41.97,1.15,0.03,42.8,2.565057,0.025315,0.0098692,16.36,0.45,0.01,16.69
