version,n-workers,n-secondary-workers,n-reservations,n-relations,n-queries,password-work-factor,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
original,1,0,100,50,10,5,48.15,1.31,0.12,49.14,2.8168729,0.286345,0.1016535,17.09,0.47,0.04,17.44
original,2,0,100,50,10,5,55.1,1.73,0.66,56.68,2.8042961,0.206267,0.0735539,19.65,0.62,0.24,20.21
original,4,0,100,50,10,5,51.16,1.42,0.28,52.3,2.7320772,0.153153,0.0560573,18.73,0.52,0.1,19.14
original,6,0,100,50,10,5,73.54,1.82,0.2,74.65,2.7500712,0.158759,0.0577291,26.74,0.66,0.07,27.14
original,8,0,100,50,10,5,74.28,2.16,0.01,75.35,2.7507677,0.154971,0.0563374,27.0,0.79,0.0,27.39
original,10,0,100,50,10,5,81.62,2.46,0.45,83.11,2.8531,0.176,0.0616873,28.61,0.86,0.16,29.13
original,12,0,100,50,10,5,77.25,2.55,0.03,78.3,2.7810261,0.174821,0.062862,27.78,0.92,0.01,28.16
original,14,0,100,50,10,5,58.15,1.89,0.02,59.1,2.7468691,0.169315,0.0616393,21.17,0.69,0.01,21.52
original,16,0,100,50,10,5,51.49,1.24,0.02,52.34,2.6866323,0.166219,0.0618689,19.17,0.46,0.01,19.48
original,18,0,100,50,10,5,51.25,1.23,0.01,52.09,2.6966334,0.187041,0.0693609,19.01,0.46,0.0,19.32
original,20,0,100,50,10,5,50.63,1.22,0.02,51.47,2.6615285,0.17513,0.0658005,19.02,0.46,0.01,19.34
original,22,0,100,50,10,5,50.8,1.24,0.02,51.65,2.730218,0.174485,0.0639088,18.61,0.45,0.01,18.92
original,24,0,100,50,10,5,51.15,1.23,0.02,51.99,2.7078233,0.185784,0.0686101,18.89,0.45,0.01,19.2
original,26,0,100,50,10,5,51.96,1.25,0.02,52.82,2.7379724,0.196405,0.0717337,18.98,0.46,0.01,19.29
original,28,0,100,50,10,5,53.09,1.26,0.02,53.97,2.7623899,0.205738,0.0744783,19.22,0.46,0.01,19.54
original,30,0,100,50,10,5,51.54,1.24,0.01,52.41,2.6965685,0.193823,0.0718776,19.11,0.46,0.0,19.44
original,32,0,100,50,10,5,53.87,1.27,0.02,54.74,2.823202,0.254879,0.0902801,19.08,0.45,0.01,19.39
original,34,0,100,50,10,5,51.61,1.28,0.02,52.57,2.7477371,0.198158,0.0721168,18.78,0.47,0.01,19.13
original,36,0,100,50,10,5,51.42,1.24,0.01,52.26,2.7165784,0.19649,0.07233,18.93,0.46,0.0,19.24
original,38,0,100,50,10,5,51.24,1.26,0.02,52.12,2.7514975,0.196652,0.0714709,18.62,0.46,0.01,18.94
original,40,0,100,50,10,5,52.47,1.24,0.02,53.33,2.7393002,0.206111,0.0752422,19.15,0.45,0.01,19.47
original,42,0,100,50,10,5,53.5,1.25,0.01,54.36,2.7583405,0.230947,0.0837268,19.4,0.45,0.0,19.71
