version,n-workers,n-secondary-workers,n-reservations,n-relations,n-queries,password-work-factor,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
original,1,0,10,50,10,5,47.12,6.17,0.22,76.22,3.0459079,0.040678,0.013355,15.47,2.03,0.07,25.02
original,2,0,10,50,10,5,47.61,5.42,0.07,73.64,2.6980739,0.0331,0.012268,17.65,2.01,0.03,27.29
original,4,0,10,50,10,5,47.86,5.43,0.09,73.8,2.699568,0.033364,0.012359,17.73,2.01,0.03,27.34
original,6,0,10,50,10,5,47.56,5.4,0.07,73.44,2.6883648,0.031886,0.0118607,17.69,2.01,0.03,27.32
original,8,0,10,50,10,5,48.11,5.43,0.09,74.02,2.6814059,0.033622,0.0125389,17.94,2.03,0.03,27.6
original,10,0,10,50,10,5,48.02,5.44,0.09,74.04,2.6943596,0.034435,0.0127804,17.82,2.02,0.03,27.48
original,12,0,10,50,10,5,48.53,5.41,0.07,74.48,2.6785894,0.036829,0.0137494,18.12,2.02,0.03,27.81
original,14,0,10,50,10,5,48.12,5.44,0.09,74.04,2.6983387,0.034458,0.0127701,17.83,2.02,0.03,27.44
original,16,0,10,50,10,5,47.94,5.46,0.08,74.0,2.7164425,0.045445,0.0167296,17.65,2.01,0.03,27.24
original,18,0,10,50,10,5,49.91,5.5,0.1,76.38,2.7134411,0.034709,0.0127915,18.39,2.03,0.04,28.15
original,20,0,10,50,10,5,48.34,5.44,0.08,74.5,2.7071765,0.036721,0.0135643,17.86,2.01,0.03,27.52
original,22,0,10,50,10,5,52.28,5.78,0.57,79.74,2.750718,0.040516,0.0147292,19.01,2.1,0.21,28.99
original,24,0,10,50,10,5,49.39,5.56,0.23,76.28,2.7348724,0.039485,0.0144376,18.06,2.03,0.08,27.89
original,26,0,10,50,10,5,53.34,5.43,0.09,80.59,2.6641111,0.036835,0.0138264,20.02,2.04,0.03,30.25
original,28,0,10,50,10,5,48.68,5.46,0.08,74.85,2.7060596,0.034623,0.0127946,17.99,2.02,0.03,27.66
original,30,0,10,50,10,5,50.15,5.53,0.1,76.64,2.7175376,0.038929,0.0143251,18.45,2.03,0.04,28.2
original,32,0,10,50,10,5,48.29,5.47,0.09,74.55,2.7176227,0.039029,0.0143614,17.77,2.01,0.03,27.43
original,34,0,10,50,10,5,62.69,6.17,0.09,90.66,2.7391755,0.03315,0.0121022,22.89,2.25,0.03,33.1
original,36,0,10,50,10,5,85.74,7.01,0.08,114.31,2.8612138,0.040632,0.014201,29.97,2.45,0.03,39.95
original,38,0,10,50,10,5,48.33,5.46,0.1,74.59,2.7103723,0.033604,0.0123983,17.83,2.01,0.04,27.52
original,40,0,10,50,10,5,48.58,5.4,0.1,74.8,2.6882421,0.033912,0.0126149,18.07,2.01,0.04,27.82
original,42,0,10,50,10,5,48.68,5.45,0.1,74.92,2.6964347,0.03513,0.0130283,18.05,2.02,0.04,27.78
original,44,0,10,50,10,5,48.42,5.5,0.08,74.79,2.7245711,0.035141,0.0128978,17.77,2.02,0.03,27.45
original,46,0,10,50,10,5,48.65,5.42,0.09,74.6,2.6754291,0.03784,0.0141435,18.18,2.03,0.03,27.88
original,48,0,10,50,10,5,48.71,5.42,0.08,74.74,2.6861678,0.039745,0.0147962,18.13,2.02,0.03,27.82
original,50,0,10,50,10,5,48.64,5.48,0.09,74.93,2.7135824,0.035763,0.0131793,17.92,2.02,0.03,27.61
original,52,0,10,50,10,5,48.75,5.44,0.08,74.83,2.6854547,0.03934,0.0146493,18.15,2.03,0.03,27.86
original,54,0,10,50,10,5,48.9,5.69,0.1,76.54,2.8406591,0.033926,0.011943,17.21,2.0,0.04,26.94
original,56,0,10,50,10,5,48.64,5.47,0.09,74.89,2.7153245,0.042872,0.0157889,17.91,2.01,0.03,27.58
original,58,0,10,50,10,5,48.51,5.44,0.09,74.51,2.6986506,0.040291,0.0149301,17.98,2.02,0.03,27.61
original,60,0,10,50,10,5,48.65,5.45,0.08,74.79,2.7042024,0.038041,0.0140674,17.99,2.02,0.03,27.66
original,62,0,10,50,10,5,48.95,5.5,0.1,75.35,2.727662,0.041998,0.0153971,17.95,2.02,0.04,27.62
original,64,0,10,50,10,5,48.4,5.4,0.07,74.36,2.6752709,0.035854,0.013402,18.09,2.02,0.03,27.8
original,1,0,10,50,10,5,48.38,5.47,0.1,74.75,2.7195308,0.044171,0.0162421,17.79,2.01,0.04,27.49
original,2,0,10,50,10,5,48.47,5.37,0.08,74.67,2.6804339,0.025908,0.0096656,18.08,2.0,0.03,27.86
original,4,0,10,50,10,5,48.43,5.42,0.1,74.62,2.6970809,0.030351,0.0112533,17.96,2.01,0.04,27.67
