Option,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
":version :original, :n-workers 1, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",67.7,7.95,3.19,103.04,3.2212955,0.3376,0.1048026,21.02,2.47,0.99,31.99
":version :original, :n-workers 2, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",75.79,9.1,6.04,114.89,3.2603097,0.248683,0.0762759,23.25,2.79,1.85,35.24
":version :original, :n-workers 4, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",70.29,7.8,3.17,104.85,3.1375066,0.188374,0.0600394,22.4,2.49,1.01,33.42
":version :original, :n-workers 6, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",68.93,7.53,2.91,102.22,3.0648528,0.185573,0.0605487,22.49,2.46,0.95,33.35
":version :original, :n-workers 8, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",72.35,8.03,3.47,107.55,3.1434707,0.170318,0.0541815,23.02,2.55,1.1,34.21
":version :original, :n-workers 10, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",72.74,7.81,3.05,107.14,3.1133845,0.213076,0.0684387,23.36,2.51,0.98,34.41
":version :original, :n-workers 12, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",72.84,8.32,4.0,109.25,3.217331,0.21056,0.0654456,22.64,2.59,1.24,33.96
":version :original, :n-workers 14, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",79.53,9.22,5.98,118.74,3.2478401,0.19761,0.0608435,24.49,2.84,1.84,36.56
":version :original, :n-workers 16, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",74.26,8.43,4.4,110.51,3.1703033,0.235378,0.0742446,23.42,2.66,1.39,34.86
":version :original, :n-workers 18, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",86.33,9.6,4.53,125.28,3.432291,0.202984,0.0591395,25.15,2.8,1.32,36.5
":version :original, :n-workers 20, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",61.06,6.04,0.27,90.42,2.8975429,0.196572,0.0678409,21.07,2.08,0.09,31.21
":version :original, :n-workers 22, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",66.86,6.4,0.33,97.25,2.9899478,0.222203,0.0743167,22.36,2.14,0.11,32.53
":version :original, :n-workers 24, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",76.42,7.8,2.1,109.81,3.1747519,0.227855,0.071771,24.07,2.46,0.66,34.59
":version :original, :n-workers 26, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",73.75,6.92,1.07,105.78,3.0236721,0.26323,0.0870564,24.39,2.29,0.35,34.98
