,Inclusion criteria ,,,,Accept? (next step),Exclusion criteria ,,,Accept? (next step),Concurrency
Papers (id),Criterion 1,Criterion 2,Criterion 3,Criterion 4,Yes/No,Criterion 1,Criterion 2,Criterion 3,Yes/No,Yes/No
1,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
2,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
3,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
4,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
5,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
6,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
7,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
8,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
9,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
10,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
11,No,No,No,No,No,/,/,/,/,/
12,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No
13,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
14,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes
15,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
16,Yes,No,No,No,Yes,Yes,Yes,No,No,No
17,No,No,No,No,No,/,/,/,/,/
18,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes
19,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes (some parts)
20,Yes,Yes,No,No,Yes,No,No,No,Yes,No
21,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes
22,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
23,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
24,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
25,No,No,No,No,No,/,/,/,/,/
26,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
27,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
28,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
29,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
30,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes
31,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes
32,No,No,No,No,No,/,/,/,/,/
33,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
34,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes
35,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
36,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
37,No,Yes,No,No,Yes,No,No,No,Yes,No
38,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes
39,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No
40,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
41,No,No,No,No,No,/,/,/,/,/
42,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
43,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
44,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes
45,No,No,No,No,No,/,/,/,/,/
46,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
47,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
48,Yes,Yes,Yes,No,Yes,Yes,No/Yes,Yes,No,No
49,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
50,No,No,Yes,No,Yes,Yes,No,No,No,No
51,Yes,No,Yes,Yes,Yes,Yes/No,No,No,Yes/No,Yes
52,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No
53,No,No,Yes,No,Yes,Yes,No,No,No,No
54,No,No,No,No,No,/,/,/,/,/
55,No,No,No,No,No,/,/,/,/,/
56,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No
57,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No
58,Yes,Yes,No,No,Yes,No,No,Yes,No,No
59,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
60,No,No,No,No,No,/,/,/,/,/
61,Yes,No,Yes,No,Yes,Yes,No,No,No,No
62,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
63,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
64,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
65,No,No,No,No,No,/,/,/,/,/
66,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
67,Yes,No,Yes,No,Yes,Yes,No,No,No,No
68,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
69,No,No,No,No,No,/,/,/,/,/
70,Yes,No,No,No,Yes,Yes,No,No,No,No
71,No,No,Yes,No,Yes,No,No,Yes,No,Yes
72,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
73,Yes,No,Yes,No,Yes,No,No,Yes,No,No
74,No,No,No,No,No,/,/,/,/,/
75,No,No,No,No,No,/,/,/,/,/
76,No,No,No,No,No,/,/,/,/,/
77,No,No,No,No,No,/,/,/,/,/
78,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No
79,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes
80,No,No,Yes,No,Yes,No,No,No,Yes,No
81,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes
82,No,No,Yes,No,Yes,No,No,Yes,No,No
83,No,No,Yes,No,Yes,Yes,No,No,No,No
84,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
85,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
86,No,No,No,No,No,/,/,/,/,/
87,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
88,No,No,No,No,No,/,/,/,/,/
89,No,No,No,No,No,/,/,/,/,/
90,No,No,No,No,No,/,/,/,/,/
91,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
92,No,Yes,Yes,No,Yes,No,No,No,Yes,No
93,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
94,No,No,Yes,No,Yes,No,No,No,Yes,Yes
95,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
96,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes
97,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
98,No,No,Yes,No,Yes,Yes,No,No,No,Yes
99,No,No,No,No,No,/,/,/,/,/
100,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No
101,No,No,No,No,No,/,/,/,/,/
102,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
103,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
104,No,No,No,No,No,/,/,/,/,/
105,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
106,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes
107,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes
108,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
109,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes
110,No,No,Yes,No,Yes,Yes,No,No,No,No
111,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes
112,Yes,Yes/No,Yes,No,Yes,No,No,No,Yes,Yes
113,No,No,Yes,No,Yes,Yes,No,No,No,No
114,No,No,No,No,No,/,/,/,/,/
115,No,Yes,Yes,No,Yes,No,No,No,Yes,No
116,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
117,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes
118,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
119,No,No,Yes,No,Yes,No,No,Yes,No,Yes
120,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
121,Yes,No,No,Yes,Yes,Yes,No,No,No,No
122,Yes,No,No,Yes,Yes,Yes,No,No,No,No
123,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
124,No,Yes,Yes,No,Yes,No,No,No,Yes,No
125,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
